polish,english,example,grammatical_type
nadać się do czegoś,to be suitable for something (once),,
nadmierny,excessive,,
nadużyjesz czegoś (nadużyć czegoś),You will abuse something,,
nadużyję czegoś (nadużyć czegoś),I will abuse something,,
nadużywam czegoś (nadużywać czegoś),I am abusing something,,
nadużywasz czegoś (nadużywać czegoś),You are abusing something,,
nadużywać czegoś,to abuse something (repeated),,
nadużyć czegoś,to abuse something (once),,
nadwaga,overweight,,
nadziać,to impale (once),,
nadziejesz (nadziać),You will impale,,
nadzieję (nadziać),I will impale,,
nadziewać,to impale (repeated),,
nadzwyczaj,unusually,,
nagranie,recording,,
nagroda,prize,,
nagrodzony,award-winning,,
nakazać,to command/order II (once),,
nakazywać,to command/order II (repeated),,
nakrapiany,speckled,,
nakładać,to apply (repeated),,
nalać,to pour into (once),,
nalewać,to pour into (repeated),,
należ (należeć),Belong! (repeated),,
należeć,to belong,,
należysz (należeć),You belong,,
należę (należeć),I belong,,
namawiać kogoś do czegoś,to persuade somebody to (do) something (repeated),,
namiętność,passion,,
namowa,suggestion/instigation,,
namydlać,to soap (repeated),,
namydlić,to soap (once),,
namówić kogoś do czegoś,to persuade somebody to (do) something (once),,
naostrzyć,to sharpen (once),,
napad na kogoś/coś,assault on somebody/something,,
napadać na kogoś/coś,to assault somebody/something (repeated),,
napaść na kogoś/coś,to assault somebody/something (once),,
napełniaj (napełniać),Fill! (repeated),,
napełniam (napełniać),I am filling,,
napełniasz (napełniać),You are filling,,
napełniać,to fill (e.g. with liquid) (repeated),,
napełnij (napełnić),Fill! (once),,
napełnisz (napełnić),You will fill,,
napełnić,to fill (e.g. with liquid) (once),,
napełnię (napełnić),I will fill,,
napęcznieć,to swell (once),,
napędzaj (napędzać),Drive/propel! (repeated),,
napędzam (napędzać),I am driving/propelling,,
napędzasz (napędzać),You are driving/propelling,,
napędzać,to drive/propel (repeated),,
napędzisz (napędzić),You will drive/propel,,
napędzić,to drive/propel (once),,
napędzę (napędzić),I will drive/propel,,
napędź (napędzić),Drive/propel! (once),,
naradzać się,to confer (repeated),,
naradzić się,to confer (once),,
narkoza,anaesthesia,,
narodowy,national,,
narzeczona,fiancée (female),,
narzeczony,fiancé (male),,
narzędnik (z kim? z czym?),instrumental case,,
narzędzie,device/tool/instrument,,
naród,nation,,
nasilać się,to increase/intensify (repeated),,
nasilić się,to increase/intensify (once),,
nastawiać,to set (repeated),,
nastawiony,orientated,,
nastawić,to set (once),,
nastolatek,teenager,,
nastrojowy,moody/atmospheric,,
nastrój,mood I,,
nastąpić,to follow/proceed (once),,
następować,to follow/proceed (repeated),,
następujący,following/succeeding,,
nasycenie,saturation,,
natomiast,whereas,,
nauczanie,teaching,,
nauczyć się,to learn (once),,
nauka,science,,
nawa,aisle,,
nawias,bracket,,
nawyk,habit/practice/custom,,
nawóz,fertilizer/manure,,
nazbierać,to pick/collect/gather,,
nazista,nazi,,
nazistowski,nazi,,
naziści,nazis,,
nazwać,to name (once),,
nazwiesz (nazwać),You will name,,
nazwę (nazwać),I will name,,
nazywać,to name (repeated),,
nałożyć,to apply (once),,
nałóg,bad habit,,
naśmiewać się z kogoś/czegoś,to laugh at somebody/something,,
negocjować,to negotiate (repeated),,
niczyj,nobody's/no-one's,,
nie kłóć się (kłócić się),Don't argue! (repeated),,
nie smuć się (smucić się),Don't be saddened! (repeated),,
niebawem,presently/soon,,
niebezpieczny,dangerous,,
niebiosa,heaven,,
nieboszczyk,the deceased,,
niebywały,exceptional,,
nieco,somewhat,,
niedawny,recent,,
niedbałość,negligence,,
niedopuszczalny,unacceptable,,
niedoświadczony,inexperienced,,
niegdyś,formerly,,
niekończący się,never-ending,,
nieletni,juvenille,,
niemal,almost/nearly,,
nienawiść,hatred,,
nieoczekiwany,unexpected,,
niepełnosprawny,disabled,,
niepodatny,impervious/insusceptible,,
niepodległość,political/national independence,,
niepokojący,worrying/disturbing,,
nieporadny,incompetent/helpless,,
niepowodzenie,fiasco/failure,,
niepowtarzalność,uniqueness,,
nieproszony,uninvited,,
nieprzebyty,impassable,,
nieprzerwany,uninterrupted,,
nieprzypadkowo,"intentionally, not accidentally",,
nieprzystosowany,ill-suited/ill-fitted,,
nieprzytomny,unconscious,,
nieraz,many a time,,
nieruchomy,"still, not moving",,
nierzetelny,unreliable/shoddy,,
niespełna,nearly,,
niespełniony,unfulfilled,,
niespodzianka,surprise,,
niespodziewany,unexpected/unforeseen,,
niesprawiedliwy,unfair/unjust,,
niesłychany,unheard of,,
nietknięty,untouched/unharmed/intact,,
nieuczciwy,dishonest,,
nieudolnie,clumsily,,
nieuleczalny,incurable,,
nieustannie,continuously/continually,,
niewiadomy,unknown,,
niewiarygodny,unbelievable/incredible,,
niewierność,infidelity,,
niewola,captivity,,
niewolnica,slave (female),,
niewolnik,slave (male),,
niezależność,independence,,
niezależny,independent,,
niezbędny,indispensable/necessary/essential,,
niezgodność,incompatibility,,
nieznośny,unbearable,,
niezrozumiały,incomprehensible/unintelligible,,
niezręczny,clumsy/awkward,,
niezwykły,unusual,,
nieśmiały,shy,,
nieśmiertelność,immortality,,
niszczyć,to devastate/destroy (repeated),,
niższość,inferiority,,
niższy,lower,,
nocleg,overright accommodation,,
nosidełko,child carrier (sling),,
notoryczny,notorious,,
notować,to note (repeated),,
nowatorski,innovative,,
nowinka,gossip,,
nowo,newly,,
noworodek,newborn (baby),,
nowotwór,tumour,,
nowożeńcy,newly-weds,,
nurkować,to dive (repeated),,
oba,"both (m, n)",,
obaj mężczyźni,both men,,
obawa,anxiety/fear,,
obawiać się,to be afraid/concerned,,
obcas,heel,,
obcinać,to clip/trim (repeated),,
obciąć,to clip/trim (once),,
obciążać,to burden/load (repeated),,
obciążenie,burden/load,,
obciążyć,to burden/load (once),,
obcy,foreign/strange,,
obecnie,currently/presently,,
obecność,presence,,
obecny,current/present,,
obejrzeć,to watch/look at (once),,
obetniesz (obciąć),You will clip/trim,,
obetnę (obciąć),I will clip/trim,,
obie,both (f),,
obie kobiety,both women,,
obiecaj (obiecać),Promise! (once),,
obiecam (obiecać),I will promise,,
obiecasz (obiecać),You will promise,,
obiecać,to promise I (once),,
obiecuj (obiecywać),Promise! (repeated),,
obiecujesz (obiecywać),You promise,,
obiecuję (obiecywać),I promise,,
obiecywać,to promise I (repeated),,
obiektyw,lens,,
obierać,to peel/shell/skin (repeated),,
obietnica,(a) promise,,
obieżyświat,globetrotter,,
objadać się czymś,to gorge oneself with something (repeated),,
objaw,symptom,,
objawiać,to manifest (repeated),,
objawić,to manifest (once),,
objaśniać,to clarify (repeated),,
objaśnić,to clarify (once),,
objeść się czymś,to gorge oneself with something (once),,
obleśny,lecherous/revolting,,
obniżać,to lower (repeated),,
obniżyć,to lower (once),,
oboje,both (man and woman),,
obojętny,indifferent/irrelevant,,
obowiązek,duty/obligation,,
obozować,to camp,,
obraz,image/picture/painting,,
obrać,to peel/shell/skin (once),,
obrażony,offended,,
obrona,defense,,
obronić,to defend (once),,
obrońca,defender,,
obrus,tablecloth,,
obrzeże,edge,,
obrzucać,to heap/hurl (repeated),,
obrzucić,to heap/hurl (once),,
obskurny,dingy/shabby,,
obszar,area/territory,,
obszerny,spacious/loose/lengthy,,
obsługiwać,to serve or to operate (repeated),,
obsłużyć,to serve or to operate (once),,
oburzający,outrageous,,
oburzony,indignant/outraged,,
obuwie,footwear,,
obuwniczy,footwear,,
obwiniać kogoś o coś,to accuse/blame someone of/for something (repeated),,
obwinić kogoś o coś,to accuse/blame someone of/for something (once),,
obwisły,sagging/drooping,,
obwódka,border II,,
obóz,camp,,
obłąkany,crazy/mad,,
ocalać,to rescue/save II (repeated),,
ocalić,to rescue/save II (once),,
ocena,grade/mark,,
oceniać,to appraise (repeated),,
ocenić,to appraise (once),,
ocet,vinegar,,
ochrona,protection/security,,
ochłodzić,to cool (once),,
oczekiwanie,anticipation,,
oczekiwać,to anticipate,,
oczekuj (oczekiwać),Anticipate!,,
oczekujesz (oczekiwać),You are anticipating,,
oczekuję (oczekiwać),I am anticipating,,
oczyszczać,to purify (repeated),,
oczyścić,to purify (once),,
od nowa,from scratch,,
odbicie,reflection,,
odbierać,to take back (repeated),,
odbiorca,recipient,,
odbiór,receipt,,
odblaskowy,reflective,,
odbywa się (odbywać się),it is taking place,,
odbywają się (odbywać się),they are taking place,,
odbywać się,to take place (repeated),,
odbyć się,to take place (once),,
odbędzie się (odbyć się),it will take place,,
odbędą się (odbyć się),they will take place,,
odchodzić,to go away (repeated),,
odcinek,section/episode/segment,,
odcięty,cut off from,,
odczepiać,to detach/uncouple (repeated),,
odczepić,to detach/uncouple (once),,
oddadzą (oddać),They will give back,,
oddaj (oddać),Give back! (once),,
oddajesz (oddawać),You are giving back,,
oddaję (oddawać),I am giving back,,
oddalać,to move away (repeated),,
oddalenie,remoteness,,
oddalić,to move away (once),,
oddam (oddać),I will give back,,
oddany,devoted,,
oddawaj (oddawać),Give back! (repeated),,
oddawać,"to give back, to return (repeated)",,
oddać,"to give back, to return (once)",,
oddychać,to breathe (repeated),,
oddział,troop/squad,,
oddzielnie,separately/apart II,,
odebrać,to take back (once),,
odejdziesz (odejść),You will go away,,
odejdę (odejść),I will go away,,
odejmiesz (odjąć),You will subtract,,
odejmować,to subtract (repeated),,
odejmę (odjąć),I will subtract,,
odejść,to go away (once),,
oderwać,to tear away (once),,
oderwiesz (oderwać),You will tear away,,
oderwę (oderwać),I will tear away,,
odetchnąć,to breathe (once),,
odezwać,to speak (once),,
odezwiesz (odezwać),You will speak,,
odezwę (odezwać),I will speak,,
odgadnąć,to solve II (once),,
odgadywać,to solve II (repeated),,
odgłos,sound/noise,,
odizolować,to isolate (once),,
odjechać,to leave/depart (by vehicle) (once),,
odjeżdżać,to leave/depart (by vehicle) (repeated),,
odjąć,to subtract (once),,
odkrycie,discovery,,
odkrywać,to discover (repeated),,
odkryć,to discover (once),,
odkręcaj (odkręcać),Unscrew/loosen! (repeated),,
odkręcam (odkręcać),I am unscrewing/loosening,,
odkręcasz (odkręcać),You are unscrewing/loosening,,
odkręcać,to unscrew/loosen (repeated),,
odkręcisz (odkręcić),You will unscrew/loosen,,
odkręcić,to unscrew/loosen (once),,
odkręcę (odkręcić),I will unscrew/loosen,,
odkręć (odkręcić),Unscrew/loosen! (once),,
odkurzacz,vacuum cleaner,,
odkurzać,to vacuum (repeated),,
odkurzyć,to vacuum (once),,
odkładać,to put back (repeated),,
odległość,distance,,
odmawiać,to refuse/deny (repeated),,
odmieniać,to conjugate/decline (repeated),,
odmienić,to conjugate/decline (once),,
odmówić,to refuse/deny (once),,
odnajdować,to find again (repeated),,
odnaleźć,to find again (once),,
odnawiać,to renew/restore (repeated),,
odnowisz (odnowić),You will renew/restore,,
odnowić,to renew/restore (once),,
odnowię (odnowić),I will renew/restore,,
odpady,waste,,
odpoczynek,rest,,
odpoczywać,to rest (repeated),,
odpocząć,to rest (once),,
odporny,resistent,,
odpowiadać,to answer (repeated),,
odpowiedni,correct/appropriate,,
odpowiedzialność,responsibility,,
odpowiedzialny,responsible,,
odpowiedzieć,to answer (once),,
odpowietrznik,air vent,,
odprężać,to relax (repeated),,
odprężyć,to relax (once),,
odpływ,low tide,,
odreagować,to shake off (once),,
odreagowywać,to shake off (repeated),,
odrobina,a bit of,,
odruch,reflex,,
odrywać,to tear away (repeated),,
odrzucenie,rejection/dismissal,,
odróżniać,to distinguish (repeated),,
odróżnisz (odróżnić),You will distinguish,,
odróżnić,to distinguish (once),,
odróżnię (odróżnić),I will distinguish,,
odsetek,percentage,,
odstawiać,to put aside/away (repeated),,
odstawienie,withdrawal,,
odstawić,to put aside/away (once),,
odsunąć się,to back off/away (once),,
odsuwać się,to back off/away (repeated),,
odtruć,to detoxify,,
odtąd,from now on,,
odwaga,courage,,
odważać się,to dare (repeated),,
odważny,brave/courageous,,
odważyć się,to dare (once),,
odwdzięczać się,to repay (repeated),,
odwdzięczyć się,to repay (once),,
odwet,retaliation/revenge,,
odwiedzać,to visit (repeated),,
odwiedzić,to visit (once),,
odwieziesz (odwieźć),You will give a lift back,,
odwieźć,to give a lift back (once),,
odwiozę (odwieźć),I will give a lift back,,
odwozić,to give a lift back (repeated),,
odwołać,to cancel/withdraw (once),,
odwoływać,to cancel/withdraw (repeated),,
odwzajemniać,to reciprocate (repeated),,
odwzajemnić,to reciprocate (once),,
odziedziczyć,to inherit (once),,
odzieżowy,clothes/clothing,,
odzyskać,to regain (once),,
odzyskiwać,to regain (repeated),,
odzywać,to speak (repeated),,
odłamek,sliver/shard/shrapnel,,
odłożyć,to put back (once),,
odświeżać,to refresh (repeated),,
odświeżyć,to refresh (once),,
odżywianie,nutrition,,
odżywiać,to feed/nourish (repeated),,
odżywić,to feed/nourish (once),,
ofiara,victim,,
oglądać,to watch/look at (repeated),,
ognisko,bonfire/campfire,,
ograniczać,to restrict/limit/reduce (repeated),,
ograniczenie,limitation,,
ograniczyć,to restrict/limit/reduce (once),,
ogrzać,to warm up (once),,
ogrzewać,to warm up (repeated),,
ogólnodostępny,readily accessible or available,,
ogólnokształcący,general education,,
ogłoszenie,notice/announcement,,
ohydny,hideous,,
ojczym,stepfather,,
ojczysty,native,,
ojczyzna,homeland/motherland,,
okazać,to display (once),,
okazywać,to display (repeated),,
okolica,neighbourhood I,,
okolicznościowy,occasional,,
określenie,term/designation,,
określony,specific,,
okruch,crumb,,
okrutny,cruel/severe/savage,,
okrzyk,shout/cry/exclamation,,
okręt,ship,,
okup,ransom,,
okłamać kogoś,to deceive (or lie to) somebody (once),,
okłamiesz kogoś (okłamać kogoś),You will deceive somebody,,
okłamię kogoś (okłamać kogoś),I will deceive somebody,,
okłamywać kogoś,to deceive (or lie to) somebody (repeated),,
olbrzymi,gigantic,,
omijać,to bypass/avoid/evade (repeated),,
ominąć,to bypass/avoid/evade (once),,
opaska,bandage/armband,,
opieka,care,,
opiekować się,to look after (repeated),,
opiekun,carer,,
opierać,to lean/rest (repeated),,
opinia,opinion,,
opis,description,,
opisać,to describe (once),,
opisywać,to describe (repeated),,
opona,tyre,,
opowieść,story/tale,,
oprogramowanie,software,,
oprzeć,to lean/rest (once),,
oprócz,"except, apart from",,
opróżniać,to empty (repeated),,
opróżnić,to empty (once),,
opuszczać,to abandon/leave (repeated),,
opuścić,to abandon/leave (once),,
opętany,possessed,,
opłakany,deplorable/lamentable,,
opłata,charge/fee/fare,,
opłatek,wafer,,
opłukać,to rinse (once),,
orzeł,eagle,,
osada,settlement,,
oschły,stiff,,
osiedlać,to settle (repeated),,
osiedle,(housing) estate,,
osiedlić,to settle (once),,
osierocić,to orphan,,
osiągać,to achieve (repeated),,
osiągnąć,to achieve (once),,
osobisty,personal,,
osobiście,personally,,
osobno,separately/apart I,,
osobowość,personality,,
ostatecznie,eventually/ultimately,,
ostrość,sharpness,,
ostrożnie,carefully,,
ostrze,edge/blade,,
ostrzec,to warn (once),,
ostrzegać,to warn (repeated),,
ostrzegę (ostrzec),I will warn,,
ostrzeżenie,warning,,
ostrzeżesz (ostrzec),You will warn,,
ostrzyć,to sharpen (repeated),,
ostygnąć,to cool down (once),,
oszacować,to estimate/assess (once),,
oszczędzać,to save/economize (repeated),,
oszczędzić,to save/economize (once),,
oszust,swindler/conman,,
osądzić,to think/suppose (once),,
osłodzić,to sweeten (once),,
otaczać,to surround (repeated),,
oto,here is/are,,
otoczenie,surroundings,,
otoczyć,to surround (once),,
otruć kogoś czymś,to poison somebody with something (once),,
otrzymać,to receive/obtain (once),,
otrzymywać,to receive/obtain (repeated),,
otulać,to wrap (repeated),,
otulić,to wrap (once),,
otwór,hole,,
otępiały,spaced-out,,
owad,insect,,
oznajmiać,to announce (repeated),,
oznajmić,to announce (once),,
ośmielać,to encourage (repeated),,
ośmielić,to encourage (once),,
ośrodek,centre,,
oświadczać się komuś,to propose to somebody (repeated),,
oświadczyny,proposal,,
oświadczyć się komuś,to propose to somebody (once),,
oświetlenie,illumination/lighting,,
ożenić,to get married (to a woman) (once),,
pacha,armpit,,
pachnący,fragrant,,
paczka,package/parcel,,
pajac,puppet,,
palenisko,hearth,,
pamięć,memory,,
panować,to reign/control (repeated),,
pantofel,slipper,,
pas,belt,,
pasażer,passenger,,
pasujący,matching,,
paszcza,muzzle,,
patelnia,(frying) pan,,
patetyczny,pompous,,
paznokieć,nail,,
państwowy,state/civil/public/national,,
październik,October,,
pejzaż,landscape,,
pergamin,parchment,,
pestka,pip,,
pewność siebie,self-confidence,,
pewny,sure,,
piaskownica,sandpit,,
picie,drinking,,
pieczeń,roast,,
piekarnik,oven,,
pieniądze,money,,
pieniężny,monetary,,
pierwotny,primitive,,
pierzesz (prać),You are laundering,,
pierś,chest/breast,,
pierścionek,ring,,
pieszo,on foot,,
pilnować,"to mind, to tend to, to watch over, to look after",,
pilny,diligent/conscientious,,
piorę (prać),I am laundering,,
pistolet,pistol,,
pięć milionów,five million,,
pięć tysięcy,five thousand,,
piłkarz,football player,,
plama,spot/stain,,
plamić,to stain/soil (repeated),,
plecy,back,,
plemię,tribe,,
plotkować,to gossip,,
pobicie,beating,,
pobierać,to download (repeated),,
pobierać się,to get married (repeated),,
pobliski,nearby,,
pobocze,verge/shoulder,,
pobrać,to download (once),,
pobrać się,to get married (once),,
pobyt,stay,,
pocisk,missile/projectile,,
pocztówka,postcard,,
poczucie,feeling/sense,,
początek,beginning,,
początkowo,initially,,
poczęstować,to offer (once),,
poczęstunek,food and drinks,,
podarować,to gift (once),,
podatek,tax,,
podchodzić,to approach (repeated),,
podcinać,to slash (repeated),,
podciąć,to slash (once),,
poddawać się,to give up/in (repeated),,
poddać się,to give up/in (once),,
podejrzany,suspicious,,
podejrzenie,suspicion,,
podejrzewać,to suspect,,
podejść,to approach (once),,
podeptać,to tread/trample (once),,
podetniesz (podciąć),You will slash,,
podetnę (podciąć),I will slash,,
podgrzać,to (re)heat (once),,
podgrzejesz (podgrzać),You will (re)heat,,
podgrzeję (podgrzać),I will (re)heat,,
podgrzewać,to (re)heat (repeated),,
podjęcie,undertaking,,
podkreślać,to underline (repeated),,
podkreślić,to underline (once),,
podniecenie,excitement/arousal,,
podniesiesz (podnieść),You will pick up,,
podnieś (podnieść),Pick up! (once),,
podnieść,to pick up (once),,
podniosę (podnieść),I will pick up,,
podnosisz (podnosić),You are picking up,,
podnosić,to pick up (repeated),,
podnoszę (podnosić),I am picking up,,
podnoś (podnosić),Pick up! (repeated),,
podobieństwo,similarity,,
podobno,reportedly/supposedly/apparently,,
podobny,similar,,
podpalać,to set fire to (repeated),,
podpalić,to set fire to (once),,
podporządkować się komuś,to submit to somebody (once),,
podporządkowywać się komuś,to submit to somebody (repeated),,
podrażniać,to physically irritate (repeated),,
podrażnić,to physically irritate (once),,
podrzędny,second-rate,,
podróżowanie,travelling,,
podręcznik,textbook,,
podstawa,base/basis/ground,,
podstawowy,basic,,
podsumowanie,summing-up/summary,,
podupadać,to deteriorate (repeated),,
podupaść,to deteriorate (once),,
podwyżka,pay rise,,
podwójny,double,,
podział,division,,
podzielić się,to share/divide (once),,
podziemie,basement/underground,,
podziemny,underground,,
podziw,admiration,,
podziwiać,to admire,,
poezja,poetry,,
pogarda,contempt/scorn,,
pogarszać,to worsen (repeated),,
pogięty,twisted (out of shape),,
pogląd,opinion/view/outlook,,
pognać,to rush (once),,
pogorszyć,to worsen (once),,
pogotowie,emergency service or ambulance,,
pogoń,chase/pursuit,,
pogrzeb,funeral,,
pogłaskać,to stroke (once),,
pogłębiać,to deepen (repeated),,
pogłębić,to deepen (once),,
poinstruować,to instruct (once),,
pojawiać się,"to appear, to show up (repeated)",,
pojawić się,"to appear, to show up (once)",,
pojedynczy,singular,,
pojemnik,container,,
pojemność,capacity,,
pojmować,to comprehend (repeated),,
pojąć,to comprehend (once),,
pojęcie,concept/idea/notion,,
pokazać,to show (once),,
pokazujesz (pokazywać),You are showing,,
pokazuję (pokazywać),I am showing,,
pokazywać,to show (repeated),,
pokażesz (pokazać),You will show,,
pokażę (pokazać),I will show,,
pokojówka,maid,,
pokolenie,generation,,
pokonanie,defeat,,
pokonać,to defeat/beat (once),,
pokonywać,to defeat/beat (repeated),,
pokrywka,cover,,
pokuta,penance,,
pokój,room/peace,,
pokład,deck,,
pokłócić się,to argue (once),,
polana,glade,,
polać,to pour (once),,
polecać,to recommend (repeated),,
polecieć,to fly (once),,
polecić,to recommend (once),,
polegać,to rely (on),,
polej (polać),Pour! (once),,
polejesz (polać),You will pour,,
poleję (polać),I will pour,,
polewać,to pour (repeated),,
policzyć,to count (once),,
polować,to hunt (repeated),,
pomagaj (pomagać),Help! (repeated),,
pomagam (pomagać),I am helping,,
pomaganie,helping,,
pomagasz (pomagać),You are helping,,
pomagać,to help (repeated),,
pomarszczony,wrinkled/shrivelled,,
pomieszczenie,room,,
pomnik,monument,,
pomnożyć,to multiply (once),,
pomocnica,helper (female),,
pomocnik,helper (male),,
pomogę (pomóc),I will help,,
pomożesz (pomóc),You will help,,
pomylić się,to make mistakes (once),,
pomysłowość,ingenuity/resourcefulness,,
pomyłka,error/mistake,,
pomyślany,conceived,,
pomóc,to help (once),,
pomóż (pomóc),Help! (once),,
ponadto,furthermore,,
ponawiać,to repeat/recur (repeated),,
ponieważ,so/therefore,,
ponieść,to incur (once),,
poniżenie,humiliation,,
poniższy,following/below,,
ponosić,to incur (repeated),,
ponowić,to repeat/recur (once),,
ponoć,seemingly/supposedly,,
popchnąć,to push (once),,
popełniać,to commit (e.g. a crime) (repeated),,
popełnić,to commit (e.g. a crime) (once),,
popielniczka,ashtray,,
popierać,"to back up, to second (repeated)",,
popiół,ash,,
poplamiony,stained/soiled,,
poplamić,to stain/soil (once),,
poprawiać,to correct (repeated),,
poprawić,to correct (once),,
poprawka,correction,,
poprawnie,correctly/properly,,
poprzedni,previous,,
poprzeć,"to back up, to second (once)",,
popychać,to push (repeated),,
popyt,demand,,
poranny,morning,,
porażka,failure,,
porozumienie,agreement/arrangement/understanding,,
poruszenie,agitation/commotion,,
porwany,kidnapped,,
porwać,to kidnap (once),,
porwiesz (porwać),You will kidnap,,
porwę (porwać),I will kidnap,,
porywać,to kidnap (repeated),,
porzucać,to abandon (repeated),,
porzucić,to abandon (once),,
porządek,order,,
porządny,neat/tidy,,
poród,delivery/childbirth,,
porównanie,comparison,,
porównać,to compare/equate (once),,
porównywać,to compare/equate (repeated),,
posada,job/position,,
posiadać,to own/possess,,
posiedzenie,session/sitting,,
posiłek,meal,,
poskarżyć się na kogoś/coś,to complain about somebody/something (once),,
posmarować,to spread/rub/grease/smear (once),,
postanawiać,to decide (repeated),,
postanowienie,decision,,
postanowić,to decide (once),,
postać,figure/form,,
posterunek,police/fire station,,
postój,stopover/stop-off,,
postąpić,to act/proceed (once),,
postęp,progress,,
postępować,to act/proceed (repeated),,
posypać,to sprinkle (once),,
posypiesz (posypać),You will sprinkle,,
posypię (posypać),I will sprinkle,,
posypywać,to sprinkle (repeated),,
poszczególny,individual/particular,,
poszukiwany,sought-after,,
posłanie,bedding,,
potknąć się,to stumble/trip (once),,
potoczny,colloquial/informal,,
potoczyć się,to roll/trundle/wheel (once),,
potomstwo,offspring,,
potrafić,"to know how, to be able",,
potraktować,to treat/handle (once),,
potrawa,dish (of food),,
potrzeba,need,,
potrząsać,to shake something (repeated),,
potrząsnąć,to shake something (once),,
potrząsnę (potrząsnąć),I will shake something,,
potrząśniesz (potrząsnąć),You will shake something,,
potykać się,to stumble/trip (repeated),,
potęga,(a) force/power,,
potępiać,to condemn (repeated),,
potępić,to condemn (once),,
potężny,mighty/powerful,,
potłuczony,shattered,,
powalać,to fell/floor/deck (repeated),,
powalić,to fell/floor/deck (once),,
poważny,serious,,
powiadamiać,to notify (repeated),,
powiadomić,to notify (once),,
powiedz (powiedzieć),Speak! (once),,
powiedzą (powiedzieć),They will say,,
powiem (powiedzieć),I will say,,
powierzchnia,surface/area,,
powietrze,fresh/open air,,
powinien,He should,,
powinienem,I should (m),,
powinieneś,You should (m),,
powinna,She should,,
powinnam,I should (f),,
powinnaś,You should (f),,
powinni,They should (m),,
powinniście,You (plural) should (m),,
powinniśmy,We should (m),,
powinno,It should,,
powinny,They should (f),,
powinnyście,You (plural) should (f),,
powinnyśmy,We should (f),,
powiększać,to extend/enlarge (repeated),,
powiększyć,to extend/enlarge (once),,
powodować,to cause I (repeated),,
powodzenie,success/luck,,
powołać do wojska,to conscript (once),,
powoływać do wojska,to conscript (repeated),,
powrotny,return,,
powrót,return,,
powstanie,creation or revolt,,
powstawać,to come into being (repeated),,
powstać,to come into being (once),,
powstrzymać,to refrain (once),,
powstrzymywać,to refrain (repeated),,
powszechny,prevailing/prevalent/common,,
powtarzać,to repeat/revise/review (repeated),,
powtórzysz (powtórzyć),You will repeat,,
powtórzyć,to repeat/revise/review (once),,
powtórzę (powtórzyć),I will repeat,,
powyższy,preceeding/above,,
powód,reason,,
powódź,flood,,
powąchać,to smell/sniff (once),,
poza tym,anyway/besides,,
pozaziemski,"alien (as in, extra-terrestrial)",,
pozbawiać,to deprive (repeated),,
pozbawiony,lacking,,
pozbawić,to deprive (once),,
pozbywać się,to rid oneself of (repeated),,
pozbyć się,to rid oneself of (once),,
pozbędziesz się (pozbyć się),You will rid yourself of,,
pozbędę się (pozbyć się),I will rid myself of,,
poznajesz (poznawać),You are meeting,,
poznaję (poznawać),I am meeting,,
poznawać,"to meet, to get to know (repeated)",,
poznać,"to meet, to get to know (once)",,
pozornie,seemingly/ostensibly,,
pozostawiać,to leave behind II (repeated),,
pozostawić,to leave behind II (once),,
pozostały,remaining,,
pozwalać,to allow (repeated),,
pozwać kogoś do sądu,to take somebody to court (once),,
pozwolenie,permit,,
pozwolić,to allow (once),,
pozywać kogoś do sądu,to take somebody to court (repeated),,
pozór,appearance/pretence,,
połknąć,to swallow (once),,
połowa,half/middle,,
położony,situated,,
położyć,to lay (once),,
południe,south,,
połykać,to swallow (repeated),,
połączyć,to connect/combine (once),,
pościg,pursuit,,
pośpiech,haste/rush,,
pośpieszny,hasty,,
pośpieszyć,to hurry/rush (once),,
poświęcać,to sacrifice (repeated),,
poświęcić,to sacrifice (once),,
pożar,fire,,
pożarty,gobbled,,
pożałować,to regret (once),,
pożegnanie,farewell/parting,,
pożegnać,to say farewell (once),,
pożerać,"to devour, to gobble up (repeated)",,
pożreć,"to devour, to gobble up (once)",,
pożyczać,to borrow/lend (repeated),,
pożyczka,loan,,
pożyczyć,to borrow/lend (once),,
pożyteczny,beneficial,,
pożywienie,nourishment,,
pożądać,to desire,,
pracowity,hard-working,,
pragnąć,to desire (repeated),,
praktyka,practice,,
prasować,to press/iron (repeated),,
prawa strona,right side,,
prawdopodobieństwo,probability,,
prawdopodobny,probable,,
prać,to launder (repeated),,
premia,bonus,,
pretensja,complaint I,,
proch,gunpowder,,
producent,manufacturer/producer,,
projektant,designer,,
promieniotwórczość,radioactivity,,
proponować,to propose (repeated),,
prostokąt,rectangle,,
prostokątny,rectangular,,
prostować,to straighten (out) (repeated),,
prosty,straight(forward)/simple,,
prośba,request,,
przebiec,to run across (once),,
przebiegać,to run across (repeated),,
przebiegniesz (przebiec),You will run across,,
przebiegnę (przebiec),I will run across,,
przebywać,to go through (repeated),,
przebyć,to go through (once),,
przecena,price reduction,,
przechodzień,passer-by,,
przechodzić,to cross (repeated),,
przechować,to keep/store (once),,
przechowywać,to keep/store (repeated),,
przecinać,to cut II (repeated),,
przeciwieństwo,opposition/contrast,,
przeciwniczka,opponent (female),,
przeciwnik,opponent (male),,
przeciwność,adversity,,
przeciwny,opposite,,
przeciąć,to cut II (once),,
przeciętność,mediocrity,,
przeciętny,mediocre,,
przed(e),"before, in front, first (in order)",,
przeddzień,the eve of,,
przedmieście,suburb,,
przedmiot,object/subject (e.g. history),,
przedpłata,down/advance payment,,
